time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-14 00:00:00+00:00,,,40,9
2024-08-15 00:00:00+00:00,2.0,1.0,156,6
2024-08-16 00:00:00+00:00,2.0,2.0,38,6
2024-08-17 00:00:00+00:00,1.0,1.0,11,4
2024-08-18 00:00:00+00:00,1.0,1.0,13,3
2024-08-19 00:00:00+00:00,3.0,2.0,47,13
2024-08-20 00:00:00+00:00,4.0,2.0,23,5
2024-08-21 00:00:00+00:00,4.0,3.0,84,7
2024-08-22 00:00:00+00:00,1.0,1.0,13,4
2024-08-23 00:00:00+00:00,4.0,2.0,10,3
2024-08-24 00:00:00+00:00,2.0,1.0,8,4
2024-08-25 00:00:00+00:00,1.0,1.0,4,1
2024-08-26 00:00:00+00:00,2.0,1.0,30,5
2024-08-27 00:00:00+00:00,,,18,6
