time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-04 00:00:00+00:00,3.0,1.0,18,8
2024-07-05 00:00:00+00:00,1.0,1.0,61,6
2024-07-06 00:00:00+00:00,1.0,1.0,12,2
2024-07-07 00:00:00+00:00,,,2,1
2024-07-08 00:00:00+00:00,1.0,1.0,17,5
2024-07-09 00:00:00+00:00,5.0,3.0,46,10
2024-07-10 00:00:00+00:00,4.0,3.0,40,6
2024-07-11 00:00:00+00:00,,,40,14
2024-07-12 00:00:00+00:00,,,9,4
2024-07-13 00:00:00+00:00,4.0,2.0,25,3
2024-07-14 00:00:00+00:00,6.0,3.0,63,3
2024-07-15 00:00:00+00:00,1.0,1.0,48,2
2024-07-16 00:00:00+00:00,1.0,1.0,39,5
2024-07-17 00:00:00+00:00,,,37,11
