referrer,views_total,views_unique
spatialmodel.com,92,8
Google,47,16
zenodo.org,33,1
pkg.go.dev,16,2
inmap.run,9,5
groups.google.com,8,1
github.com,4,3
caces.us,4,2
googlehnzyc.azurewebsites.net,4,1
Bing,3,1
