time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-04 00:00:00+00:00,1,1,21,4
2025-05-05 00:00:00+00:00,4,2,5,4
2025-05-06 00:00:00+00:00,1,1,18,5
2025-05-07 00:00:00+00:00,1,1,38,5
2025-05-08 00:00:00+00:00,1,1,43,7
2025-05-09 00:00:00+00:00,6,4,20,6
2025-05-10 00:00:00+00:00,2,2,4,2
2025-05-11 00:00:00+00:00,5,2,29,5
2025-05-12 00:00:00+00:00,1,1,20,6
2025-05-13 00:00:00+00:00,23,3,12,8
2025-05-14 00:00:00+00:00,3,2,25,7
2025-05-15 00:00:00+00:00,1,1,44,10
2025-05-16 00:00:00+00:00,1,1,27,4
2025-05-17 00:00:00+00:00,2,2,12,2
