time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-23 00:00:00+00:00,4.0,2.0,10,3
2024-08-24 00:00:00+00:00,2.0,1.0,8,4
2024-08-25 00:00:00+00:00,1.0,1.0,4,1
2024-08-26 00:00:00+00:00,2.0,1.0,30,5
2024-08-27 00:00:00+00:00,,,18,6
2024-08-28 00:00:00+00:00,2.0,2.0,66,7
2024-08-29 00:00:00+00:00,3.0,2.0,11,7
2024-08-30 00:00:00+00:00,,,13,7
2024-08-31 00:00:00+00:00,,,3,2
2024-09-01 00:00:00+00:00,2.0,2.0,18,4
2024-09-02 00:00:00+00:00,1.0,1.0,29,8
2024-09-03 00:00:00+00:00,2.0,2.0,25,5
2024-09-04 00:00:00+00:00,,,22,8
2024-09-05 00:00:00+00:00,2.0,2.0,3,2
