time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-03 00:00:00+00:00,8,4,32.0,4.0
2025-03-04 00:00:00+00:00,14,5,51.0,12.0
2025-03-05 00:00:00+00:00,8,5,20.0,6.0
2025-03-06 00:00:00+00:00,9,8,25.0,7.0
2025-03-07 00:00:00+00:00,14,11,2.0,2.0
2025-03-08 00:00:00+00:00,17,12,41.0,3.0
2025-03-09 00:00:00+00:00,15,12,,
2025-03-10 00:00:00+00:00,2,2,8.0,5.0
2025-03-11 00:00:00+00:00,5,3,21.0,7.0
2025-03-12 00:00:00+00:00,3,2,9.0,6.0
2025-03-13 00:00:00+00:00,4,2,2.0,2.0
2025-03-14 00:00:00+00:00,1,1,12.0,5.0
2025-03-15 00:00:00+00:00,5,3,1.0,1.0
2025-03-16 00:00:00+00:00,1,1,28.0,3.0
