time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-16 00:00:00+00:00,3,3,35,10
2023-10-17 00:00:00+00:00,2,2,65,10
2023-10-18 00:00:00+00:00,1,1,39,8
2023-10-19 00:00:00+00:00,2,2,38,9
2023-10-20 00:00:00+00:00,8,6,88,10
2023-10-21 00:00:00+00:00,1,1,72,6
2023-10-22 00:00:00+00:00,4,2,10,3
2023-10-23 00:00:00+00:00,3,3,98,9
2023-10-24 00:00:00+00:00,2,2,391,12
2023-10-25 00:00:00+00:00,1,1,94,14
2023-10-26 00:00:00+00:00,1,1,138,13
2023-10-27 00:00:00+00:00,1,1,112,5
2023-10-28 00:00:00+00:00,4,4,29,6
2023-10-29 00:00:00+00:00,2,2,63,8
