url_path,views_total,views_unique
/spatialmodel/inmap,41,32
/spatialmodel/inmap/releases,21,6
/spatialmodel/inmap/blob/master/website/static/blog/2022-12-15-tutorial/sr_example.ipynb,13,6
/spatialmodel/inmap/blob/master/website/static/blog/2019-04-20-sr/sr_util.py,10,3
/spatialmodel/inmap/blob/master/eval/nei2005Config.toml,10,1
/spatialmodel/inmap/blob/master/website/static/blog/2019-04-20-sr/sr_example.ipynb,8,5
/spatialmodel/inmap/tree/master/cmd/inmap,5,4
/spatialmodel/inmap/tree/master/docs,4,4
/spatialmodel/inmap/tree/master/emissions,4,3
/spatialmodel/inmap/blob/master/README.md,3,3
