time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-04 00:00:00+00:00,8.0,7.0,40,7
2025-12-05 00:00:00+00:00,11.0,10.0,82,15
2025-12-06 00:00:00+00:00,12.0,7.0,23,10
2025-12-07 00:00:00+00:00,4.0,4.0,13,6
2025-12-08 00:00:00+00:00,7.0,3.0,42,12
2025-12-09 00:00:00+00:00,12.0,7.0,45,7
2025-12-10 00:00:00+00:00,3.0,3.0,24,8
2025-12-11 00:00:00+00:00,12.0,8.0,36,8
2025-12-12 00:00:00+00:00,11.0,7.0,48,6
2025-12-13 00:00:00+00:00,8.0,4.0,1,1
2025-12-14 00:00:00+00:00,7.0,3.0,21,5
2025-12-15 00:00:00+00:00,11.0,6.0,37,9
2025-12-16 00:00:00+00:00,11.0,7.0,20,9
2025-12-17 00:00:00+00:00,,,19,3
