time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-07 00:00:00+00:00,6,6,2,2
2026-05-08 00:00:00+00:00,17,10,14,4
2026-05-09 00:00:00+00:00,9,4,1,1
2026-05-10 00:00:00+00:00,18,9,0,0
2026-05-11 00:00:00+00:00,30,9,9,6
2026-05-12 00:00:00+00:00,17,7,3,3
2026-05-13 00:00:00+00:00,21,6,7,3
2026-05-14 00:00:00+00:00,17,8,26,5
2026-05-15 00:00:00+00:00,27,10,6,2
2026-05-16 00:00:00+00:00,30,9,4,3
2026-05-17 00:00:00+00:00,15,6,3,1
2026-05-18 00:00:00+00:00,12,6,2,2
2026-05-19 00:00:00+00:00,26,9,14,5
2026-05-20 00:00:00+00:00,1,1,3,1
