referrer,views_total,views_unique
inmap.run,49,8
Google,32,16
github.com,6,4
groups.google.com,5,3
word-edit.officeapps.live.com,5,2
pkg.go.dev,4,1
Bing,1,1
researchgate.net,1,1
docs.google.com,1,1
notebooks.githubusercontent.com,1,1
