time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-16 00:00:00+00:00,2.0,2.0,1,1
2023-12-17 00:00:00+00:00,3.0,3.0,55,6
2023-12-18 00:00:00+00:00,3.0,3.0,89,7
2023-12-19 00:00:00+00:00,2.0,2.0,11,4
2023-12-20 00:00:00+00:00,2.0,2.0,37,6
2023-12-21 00:00:00+00:00,4.0,4.0,19,4
2023-12-22 00:00:00+00:00,2.0,2.0,11,1
2023-12-23 00:00:00+00:00,1.0,1.0,9,5
2023-12-24 00:00:00+00:00,1.0,1.0,11,4
2023-12-25 00:00:00+00:00,2.0,2.0,7,3
2023-12-26 00:00:00+00:00,2.0,2.0,42,5
2023-12-27 00:00:00+00:00,1.0,1.0,31,4
2023-12-28 00:00:00+00:00,1.0,1.0,6,2
2023-12-29 00:00:00+00:00,,,77,3
