time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-28 00:00:00+00:00,14,7,22,10
2026-04-29 00:00:00+00:00,34,13,28,11
2026-04-30 00:00:00+00:00,21,7,23,11
2026-05-01 00:00:00+00:00,34,8,8,3
2026-05-02 00:00:00+00:00,15,5,0,0
2026-05-03 00:00:00+00:00,26,11,32,3
2026-05-04 00:00:00+00:00,28,9,14,4
2026-05-05 00:00:00+00:00,32,9,16,5
2026-05-06 00:00:00+00:00,15,6,6,4
2026-05-07 00:00:00+00:00,6,6,2,2
2026-05-08 00:00:00+00:00,17,10,14,4
2026-05-09 00:00:00+00:00,9,4,1,1
2026-05-10 00:00:00+00:00,18,9,0,0
2026-05-11 00:00:00+00:00,30,9,9,6
