referrer,views_total,views_unique
github.com,58,22
Google,56,20
inmap.run,26,7
chatgpt.com,10,1
pkg.go.dev,9,3
zenodo.org,4,1
claude.ai,2,1
Bing,1,1
statics.teams.cdn.office.net,1,1
