url_path,views_total,views_unique
/spatialmodel/inmap,56,36
/spatialmodel/inmap/releases,52,21
/spatialmodel/inmap/releases/tag/v1.9.6,16,10
/spatialmodel/inmap/blob/master/website/static/blog/2019-04-20-sr/sr_util.py,15,9
/spatialmodel/inmap/tree/master,15,5
/spatialmodel/inmap/blob/master/website/static/blog/2022-12-15-tutorial/sr_example.ipynb,12,7
/spatialmodel/inmap/blob/master/cmd/inmap/configExample.toml,9,3
/spatialmodel/inmap/blob/master/eval/nei2005Config.toml,8,3
/spatialmodel/inmap/blob/master/website/static/blog/2019-04-20-sr/sr_example.ipynb,8,2
/spatialmodel/inmap/blob/master/preproc.go,7,1
