time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-26 00:00:00+00:00,2,2,18,12
2023-09-27 00:00:00+00:00,1,1,61,8
2023-09-28 00:00:00+00:00,2,2,23,7
2023-09-29 00:00:00+00:00,1,1,4,3
2023-09-30 00:00:00+00:00,2,2,13,5
2023-10-01 00:00:00+00:00,2,2,7,3
2023-10-02 00:00:00+00:00,2,2,92,6
2023-10-03 00:00:00+00:00,2,2,172,15
2023-10-04 00:00:00+00:00,7,3,145,12
2023-10-05 00:00:00+00:00,16,3,65,13
2023-10-06 00:00:00+00:00,5,5,34,12
2023-10-07 00:00:00+00:00,5,5,36,5
2023-10-08 00:00:00+00:00,4,4,39,7
2023-10-09 00:00:00+00:00,10,5,26,7
