time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-04 00:00:00+00:00,65,48,6,4
2023-06-05 00:00:00+00:00,61,49,32,6
2023-06-06 00:00:00+00:00,67,44,39,10
2023-06-07 00:00:00+00:00,66,44,29,10
2023-06-08 00:00:00+00:00,68,48,20,8
2023-06-09 00:00:00+00:00,64,38,21,5
2023-06-10 00:00:00+00:00,68,43,2,1
2023-06-11 00:00:00+00:00,65,45,21,5
2023-06-12 00:00:00+00:00,67,49,19,8
2023-06-13 00:00:00+00:00,118,76,19,14
2023-06-14 00:00:00+00:00,155,87,12,6
2023-06-15 00:00:00+00:00,91,64,8,2
2023-06-16 00:00:00+00:00,65,40,44,9
2023-06-17 00:00:00+00:00,57,33,20,7
