url_path,views_total,views_unique
/spatialmodel/inmap,80,40
/spatialmodel/inmap/releases,26,15
/spatialmodel/inmap/issues,15,4
/spatialmodel/inmap/blob/master/eval/nei2005Config.toml,15,3
/spatialmodel/inmap/blob/master/preproc.go,12,4
/spatialmodel/inmap/tree/master/sr,10,4
/spatialmodel/inmap/tree/master/cmd/inmap,9,5
/spatialmodel/inmap/search,9,3
/spatialmodel/inmap/blob/master/website/static/blog/2022-12-15-tutorial/sr_example.ipynb,8,2
/spatialmodel/inmap/blob/master/website/static/blog/2019-04-20-sr/sr_example.ipynb,7,3
