referrer,views_total,views_unique
inmap.run,116,13
Google,99,16
spatialmodel.com,30,4
pkg.go.dev,12,3
zenodo.org,10,3
Bing,8,1
github.com,4,2
groups.google.com,2,1
notebooks.githubusercontent.com,2,1
pnas.org,1,1
