time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-17 00:00:00+00:00,75,56,89,7
2025-09-18 00:00:00+00:00,10,9,14,5
2025-09-19 00:00:00+00:00,18,13,26,6
2025-09-20 00:00:00+00:00,16,16,10,3
2025-09-21 00:00:00+00:00,13,10,9,3
2025-09-22 00:00:00+00:00,3,3,29,5
2025-09-23 00:00:00+00:00,10,9,19,4
2025-09-24 00:00:00+00:00,12,6,19,9
2025-09-25 00:00:00+00:00,12,11,7,3
2025-09-26 00:00:00+00:00,7,4,50,6
2025-09-27 00:00:00+00:00,19,8,9,4
2025-09-28 00:00:00+00:00,7,3,6,4
2025-09-29 00:00:00+00:00,9,6,2,2
2025-09-30 00:00:00+00:00,11,8,2,2
