time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-21 00:00:00+00:00,3,2,17.0,7.0
2024-02-22 00:00:00+00:00,3,3,20.0,8.0
2024-02-23 00:00:00+00:00,8,4,80.0,7.0
2024-02-24 00:00:00+00:00,6,6,25.0,3.0
2024-02-25 00:00:00+00:00,3,3,,
2024-02-26 00:00:00+00:00,9,9,12.0,6.0
2024-02-27 00:00:00+00:00,4,4,27.0,10.0
2024-02-28 00:00:00+00:00,2,2,25.0,6.0
2024-02-29 00:00:00+00:00,3,3,15.0,5.0
2024-03-01 00:00:00+00:00,3,3,23.0,6.0
2024-03-02 00:00:00+00:00,2,2,23.0,5.0
2024-03-03 00:00:00+00:00,2,2,14.0,4.0
2024-03-04 00:00:00+00:00,8,7,34.0,5.0
2024-03-05 00:00:00+00:00,1,1,13.0,4.0
