time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-26 00:00:00+00:00,65,42,17,7
2023-04-27 00:00:00+00:00,62,39,3,2
2023-04-28 00:00:00+00:00,68,40,20,5
2023-04-29 00:00:00+00:00,67,41,9,3
2023-04-30 00:00:00+00:00,67,41,5,2
2023-05-01 00:00:00+00:00,65,42,21,7
2023-05-02 00:00:00+00:00,63,39,93,11
2023-05-03 00:00:00+00:00,71,42,41,9
2023-05-04 00:00:00+00:00,67,39,4,3
2023-05-05 00:00:00+00:00,66,44,24,9
2023-05-06 00:00:00+00:00,63,43,6,2
2023-05-07 00:00:00+00:00,61,45,27,8
2023-05-08 00:00:00+00:00,67,46,45,8
2023-05-09 00:00:00+00:00,65,36,72,8
