time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-23 00:00:00+00:00,62,48,50,6
2023-05-24 00:00:00+00:00,61,43,66,10
2023-05-25 00:00:00+00:00,65,43,15,7
2023-05-26 00:00:00+00:00,61,38,19,7
2023-05-27 00:00:00+00:00,62,37,12,1
2023-05-28 00:00:00+00:00,60,35,4,1
2023-05-29 00:00:00+00:00,66,43,15,7
2023-05-30 00:00:00+00:00,63,45,33,7
2023-05-31 00:00:00+00:00,63,43,6,2
2023-06-01 00:00:00+00:00,62,41,18,5
2023-06-02 00:00:00+00:00,61,42,24,9
2023-06-03 00:00:00+00:00,64,47,9,4
2023-06-04 00:00:00+00:00,65,48,6,4
2023-06-05 00:00:00+00:00,55,45,32,6
