referrer,views_total,views_unique
Google,110,16
spatialmodel.com,52,8
zenodo.org,34,2
inmap.run,22,4
pkg.go.dev,20,4
github.com,10,7
Bing,4,2
groups.google.com,3,2
caces.us,1,1
