time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-06 00:00:00+00:00,1.0,1.0,,
2024-01-07 00:00:00+00:00,1.0,1.0,7.0,4.0
2024-01-08 00:00:00+00:00,4.0,4.0,14.0,7.0
2024-01-09 00:00:00+00:00,4.0,4.0,30.0,9.0
2024-01-10 00:00:00+00:00,4.0,3.0,35.0,14.0
2024-01-11 00:00:00+00:00,2.0,2.0,7.0,3.0
2024-01-12 00:00:00+00:00,4.0,4.0,113.0,7.0
2024-01-13 00:00:00+00:00,5.0,5.0,9.0,3.0
2024-01-14 00:00:00+00:00,1.0,1.0,4.0,2.0
2024-01-15 00:00:00+00:00,5.0,4.0,15.0,2.0
2024-01-16 00:00:00+00:00,1.0,1.0,50.0,8.0
2024-01-17 00:00:00+00:00,4.0,4.0,29.0,8.0
2024-01-18 00:00:00+00:00,4.0,3.0,86.0,17.0
2024-01-19 00:00:00+00:00,,,54.0,8.0
