time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-29 00:00:00+00:00,5.0,2.0,10.0,6.0
2025-04-30 00:00:00+00:00,2.0,2.0,28.0,7.0
2025-05-01 00:00:00+00:00,4.0,2.0,5.0,3.0
2025-05-02 00:00:00+00:00,6.0,3.0,30.0,6.0
2025-05-03 00:00:00+00:00,2.0,2.0,,
2025-05-04 00:00:00+00:00,1.0,1.0,21.0,4.0
2025-05-05 00:00:00+00:00,4.0,2.0,5.0,4.0
2025-05-06 00:00:00+00:00,1.0,1.0,18.0,5.0
2025-05-07 00:00:00+00:00,1.0,1.0,38.0,5.0
2025-05-08 00:00:00+00:00,1.0,1.0,43.0,7.0
2025-05-09 00:00:00+00:00,6.0,4.0,20.0,6.0
2025-05-10 00:00:00+00:00,2.0,2.0,4.0,2.0
2025-05-11 00:00:00+00:00,5.0,2.0,29.0,5.0
2025-05-12 00:00:00+00:00,,,20.0,6.0
