time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-07 00:00:00+00:00,37,13,5,5
2026-07-08 00:00:00+00:00,22,9,24,11
2026-07-09 00:00:00+00:00,4,3,37,13
2026-07-10 00:00:00+00:00,3,3,19,9
2026-07-11 00:00:00+00:00,3,3,3,3
2026-07-12 00:00:00+00:00,11,6,5,5
2026-07-13 00:00:00+00:00,14,8,10,5
2026-07-14 00:00:00+00:00,20,11,24,8
2026-07-15 00:00:00+00:00,23,13,18,9
2026-07-16 00:00:00+00:00,10,5,13,5
2026-07-17 00:00:00+00:00,13,4,21,7
2026-07-18 00:00:00+00:00,15,6,13,4
2026-07-19 00:00:00+00:00,15,6,3,3
2026-07-20 00:00:00+00:00,14,9,51,9
