time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-18 00:00:00+00:00,3.0,3.0,89.0,7.0
2023-12-19 00:00:00+00:00,2.0,2.0,11.0,4.0
2023-12-20 00:00:00+00:00,2.0,2.0,37.0,6.0
2023-12-21 00:00:00+00:00,4.0,4.0,19.0,4.0
2023-12-22 00:00:00+00:00,2.0,2.0,11.0,1.0
2023-12-23 00:00:00+00:00,1.0,1.0,9.0,5.0
2023-12-24 00:00:00+00:00,1.0,1.0,11.0,4.0
2023-12-25 00:00:00+00:00,2.0,2.0,7.0,3.0
2023-12-26 00:00:00+00:00,2.0,2.0,42.0,5.0
2023-12-27 00:00:00+00:00,1.0,1.0,31.0,4.0
2023-12-28 00:00:00+00:00,1.0,1.0,6.0,2.0
2023-12-29 00:00:00+00:00,1.0,1.0,77.0,3.0
2023-12-30 00:00:00+00:00,1.0,1.0,,
2023-12-31 00:00:00+00:00,,,2.0,2.0
