url_path,views_total,views_unique
/spatialmodel/inmap,69,39
/spatialmodel/inmap/releases,47,17
/spatialmodel/inmap/blob/master/eval/nei2005Config.toml,17,8
/spatialmodel/inmap/blob/master/README.md,11,4
/spatialmodel/inmap/issues,7,6
/spatialmodel/inmap/compare/v1.9.5...v1.9.6,5,4
/spatialmodel/inmap/issues/8,5,3
/spatialmodel/inmap/tree/master/docs,4,3
/spatialmodel/inmap/pulls,4,2
/spatialmodel/inmap/releases/tag/v1.9.6,4,2
