url_path,views_total,views_unique
/spatialmodel/inmap,74,47
/spatialmodel/inmap/releases,45,25
/spatialmodel/inmap/releases/tag/v1.9.6,10,6
/spatialmodel/inmap/blob/master/website/static/blog/2022-12-15-tutorial/sr_example.ipynb,10,1
/spatialmodel/inmap/blob/master/eval/nei2005Config.toml,9,8
/spatialmodel/inmap/blob/master/README.md,7,3
/spatialmodel/inmap/tree/master/eval,4,4
/spatialmodel/inmap/blob/master/cmd/inmap/configExample.toml,4,3
/spatialmodel/inmap/blob/7b665744065a447d2f2a64aa7124c043ef5b8b2e/emissions/aep/inventory.go,4,1
/spatialmodel/inmap/blob/7b665744065a447d2f2a64aa7124c043ef5b8b2e/emissions/aep/pointsourcedata.go,4,1
