referrer,views_total,views_unique
Google,169,24
inmap.run,145,20
pkg.go.dev,69,3
spatialmodel.com,20,4
zenodo.org,16,2
notebooks.githubusercontent.com,16,2
docs.google.com,13,1
github.com,10,6
groups.google.com,10,6
Bing,8,1
