time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-30 00:00:00+00:00,9,3,8,3
2025-03-31 00:00:00+00:00,1,1,110,8
2025-04-01 00:00:00+00:00,9,5,56,14
2025-04-02 00:00:00+00:00,1,1,29,12
2025-04-03 00:00:00+00:00,1,1,19,10
2025-04-04 00:00:00+00:00,5,2,25,7
2025-04-05 00:00:00+00:00,21,7,100,18
2025-04-06 00:00:00+00:00,6,2,65,9
2025-04-07 00:00:00+00:00,1,1,33,10
2025-04-08 00:00:00+00:00,1,1,10,6
2025-04-09 00:00:00+00:00,2,2,13,9
2025-04-10 00:00:00+00:00,6,3,40,10
2025-04-11 00:00:00+00:00,5,3,113,11
2025-04-12 00:00:00+00:00,16,2,71,4
