url_path,views_total,views_unique
/spatialmodel/inmap,78,45
/spatialmodel/inmap/releases,73,26
/spatialmodel/inmap/blob/master/README.md,15,7
/spatialmodel/inmap/blob/master/eval/nei2005Config.toml,15,4
/spatialmodel/inmap/tree/master/cmd/inmap,13,7
/spatialmodel/inmap/tree/v1.9.6,12,1
/spatialmodel/inmap/blob/master/website/static/blog/2019-04-20-sr/sr_example.ipynb,11,6
/spatialmodel/inmap/compare/v1.9.5...v1.9.6,11,6
/spatialmodel/inmap/blob/v1.8.0/README.md,9,1
/spatialmodel/inmap/tree/master/cmd/inmap/testdata,8,4
